lambda,amplitude,N,T,dt,peak_frequency,frequency_shift,relative_shift,relative_amplitude,robust
0.25000000,0.50000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.25000000,0.50000000,201,160.00000000,2.500000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.25000000,0.50000000,201,320.00000000,2.500000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,0.50000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.25000000,0.50000000,401,160.00000000,1.250000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,0.50000000,401,320.00000000,1.250000000000e-03,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.25000000,0.50000000,801,80.00000000,6.250000000000e-04,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,0.50000000,801,160.00000000,6.250000000000e-04,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.25000000,0.50000000,801,320.00000000,6.250000000000e-04,9.424759553036,-0.000018407734,-1.953121185394e-06,1.000000000000e+00,true
0.25000000,1.00000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.25000000,1.00000000,201,160.00000000,2.500000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.25000000,1.00000000,201,320.00000000,2.500000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,1.00000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.25000000,1.00000000,401,160.00000000,1.250000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,1.00000000,401,320.00000000,1.250000000000e-03,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.25000000,1.00000000,801,80.00000000,6.250000000000e-04,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,1.00000000,801,160.00000000,6.250000000000e-04,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.25000000,1.00000000,801,320.00000000,6.250000000000e-04,9.424759553036,-0.000018407734,-1.953121185394e-06,1.000000000000e+00,true
0.25000000,1.50000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.25000000,1.50000000,201,160.00000000,2.500000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.25000000,1.50000000,201,320.00000000,2.500000000000e-03,9.444339130955,0.019561170185,2.075504618454e-03,1.000000000000e+00,true
0.25000000,1.50000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.25000000,1.50000000,401,160.00000000,1.250000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,1.50000000,401,320.00000000,1.250000000000e-03,9.444376022760,0.019598061991,2.079418960603e-03,1.000000000000e+00,true
0.25000000,1.50000000,801,80.00000000,6.250000000000e-04,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.25000000,1.50000000,801,160.00000000,6.250000000000e-04,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.25000000,1.50000000,801,320.00000000,6.250000000000e-04,9.444394468771,0.019616508002,2.081376143145e-03,1.000000000000e+00,true
0.50000000,0.50000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.50000000,0.50000000,201,160.00000000,2.500000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.50000000,0.50000000,201,320.00000000,2.500000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.50000000,0.50000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.50000000,0.50000000,401,160.00000000,1.250000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.50000000,0.50000000,401,320.00000000,1.250000000000e-03,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.50000000,0.50000000,801,80.00000000,6.250000000000e-04,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.50000000,0.50000000,801,160.00000000,6.250000000000e-04,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.50000000,0.50000000,801,320.00000000,6.250000000000e-04,9.424759553036,-0.000018407734,-1.953121185394e-06,1.000000000000e+00,true
0.50000000,1.00000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.50000000,1.00000000,201,160.00000000,2.500000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.50000000,1.00000000,201,320.00000000,2.500000000000e-03,9.444339130955,0.019561170185,2.075504618454e-03,1.000000000000e+00,true
0.50000000,1.00000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.50000000,1.00000000,401,160.00000000,1.250000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.50000000,1.00000000,401,320.00000000,1.250000000000e-03,9.444376022760,0.019598061991,2.079418960603e-03,1.000000000000e+00,true
0.50000000,1.00000000,801,80.00000000,6.250000000000e-04,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.50000000,1.00000000,801,160.00000000,6.250000000000e-04,9.424741145374,-0.000036815395,-3.906234741415e-06,1.000000000000e+00,true
0.50000000,1.00000000,801,320.00000000,6.250000000000e-04,9.444394468771,0.019616508002,2.081376143145e-03,1.000000000000e+00,true
0.50000000,1.50000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.50000000,1.50000000,201,160.00000000,2.500000000000e-03,9.463899995502,0.039122034732,4.150976807654e-03,1.000000000000e+00,true
0.50000000,1.50000000,201,320.00000000,2.500000000000e-03,9.463973931643,0.039195970874,4.158821675872e-03,1.000000000000e+00,true
0.50000000,1.50000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.50000000,1.50000000,401,160.00000000,1.250000000000e-03,9.463973931643,0.039195970874,4.158821675872e-03,1.000000000000e+00,true
0.50000000,1.50000000,401,320.00000000,1.250000000000e-03,9.464010900147,0.039232939377,4.162744155947e-03,1.000000000000e+00,true
0.50000000,1.50000000,801,80.00000000,6.250000000000e-04,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.50000000,1.50000000,801,160.00000000,6.250000000000e-04,9.464010900147,0.039232939377,4.162744155947e-03,1.000000000000e+00,true
0.50000000,1.50000000,801,320.00000000,6.250000000000e-04,9.464029384507,0.039251423737,4.164705407476e-03,1.000000000000e+00,true
0.75000000,0.50000000,201,80.00000000,2.500000000000e-03,9.424483445662,-0.000294515108,-3.124902346809e-05,1.000000000000e+00,true
0.75000000,0.50000000,201,160.00000000,2.500000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
0.75000000,0.50000000,201,320.00000000,2.500000000000e-03,9.424704330267,-0.000073630503,-7.812438965336e-06,1.000000000000e+00,true
0.75000000,0.50000000,401,80.00000000,1.250000000000e-03,9.424630700915,-0.000147259855,-1.562475586334e-05,1.000000000000e+00,true
