lambda,spatial_mode,peak_rank,omega,relative_amplitude,nearest_linear_n,nearest_linear_omega,difference_from_linear
0.00000,1,1,3.1415141157,1.0000000000e+00,1,3.1415926536,0.0000785379
0.00000,2,1,6.2830282315,1.0000000000e+00,2,6.2831853072,0.0001570757
0.00000,2,2,6.1652214521,1.0173280544e-01,2,6.2831853072,0.1179638550
0.00000,2,3,6.0081457463,6.9423404779e-02,2,6.2831853072,0.2750395608
0.00000,2,4,6.4793728637,5.8820982134e-02,2,6.2831853072,0.1961875565
0.00000,2,5,6.5579107166,4.5713281907e-02,2,6.2831853072,0.2747254094
0.00000,2,6,6.6757174959,4.3041985309e-02,2,6.2831853072,0.3925321888
0.00000,2,7,3.1415141157,3.6785928361e-02,1,3.1415926536,0.0000785379
0.00000,2,8,5.6547254083,3.4862223873e-02,2,6.2831853072,0.6284598989
0.00000,2,9,6.8327932017,2.8514895199e-02,2,6.2831853072,0.5496078945
0.00000,2,10,7.0684067604,2.6596818570e-02,2,6.2831853072,0.7852214532
0.00000,2,11,5.8510700406,2.5384333015e-02,2,6.2831853072,0.4321152666
0.00000,2,12,7.3040203191,2.4056531113e-02,2,6.2831853072,1.0208350119
0.00000,3,1,9.4245423472,1.0000000000e+00,3,9.4247779608,0.0002356136
0.00000,3,2,9.2281977150,7.5974366366e-02,3,9.4247779608,0.1965802458
0.00000,3,3,9.5423491266,6.2770258172e-02,3,9.4247779608,0.1175711658
0.00000,3,4,9.7386937588,4.5846942973e-02,3,9.4247779608,0.3139157980
0.00000,3,5,9.6601559059,4.5051991250e-02,3,9.4247779608,0.2353779451
0.00000,3,6,8.6784327447,1.9747206629e-02,3,9.4247779608,0.7463452160
0.00000,3,7,9.8957694646,1.9117763645e-02,3,9.4247779608,0.4709915038
0.00000,3,8,8.9533152299,1.8146239705e-02,3,9.4247779608,0.4714627309
0.00000,3,9,9.0711220092,1.6787813326e-02,3,9.4247779608,0.3536559516
0.00000,3,10,8.4035502596,1.5609558475e-02,3,9.4247779608,1.0212277012
0.00000,3,11,8.8747773770,1.4384078330e-02,3,9.4247779608,0.5500005838
0.00000,3,12,8.7962395241,1.3555119347e-02,3,9.4247779608,0.6285384367
0.00000,4,1,12.5660564629,1.0000000000e+00,4,12.5663706144,0.0003141514
0.00000,4,2,12.6838632423,1.5237444756e-01,4,12.5663706144,0.1174926279
0.00000,4,3,12.3304429043,1.4311934805e-01,4,12.5663706144,0.2359277101
0.00000,4,4,12.4482496836,1.0803375325e-01,4,12.5663706144,0.1181209308
0.00000,4,5,12.8016700216,8.2306646356e-02,4,12.5663706144,0.2352994073
0.00000,4,6,12.9587457274,8.0755975725e-02,4,12.5663706144,0.3923751131
0.00000,4,7,11.8984847134,5.2786962007e-02,4,12.5663706144,0.6678859010
0.00000,4,8,12.1340982720,4.7186876191e-02,4,12.5663706144,0.4322723423
0.00000,4,9,12.0162914927,4.4342395599e-02,4,12.5663706144,0.5500791217
0.00000,4,10,13.1158214332,4.1897280885e-02,4,12.5663706144,0.5494508188
0.00000,4,11,11.7021400811,3.8164011786e-02,4,12.5663706144,0.8642305332
0.00000,4,12,13.2728971390,2.5236225577e-02,4,12.5663706144,0.7065265246
0.00000,5,1,15.7075705787,1.0000000000e+00,5,15.7079632679,0.0003926893
0.00000,5,2,15.5504948729,1.0591645329e-01,5,15.7079632679,0.1574683951
0.00000,5,3,15.4326880936,5.5687697562e-02,5,15.7079632679,0.2752751744
0.00000,5,4,15.9824530638,4.1124656246e-02,5,15.7079632679,0.2744897959
0.00000,5,5,15.2363434613,3.8751947720e-02,5,15.7079632679,0.4716198066
0.00000,5,6,15.1185366820,3.7445676394e-02,5,15.7079632679,0.5894265860
0.00000,5,7,3.1415141157,3.0588804658e-02,1,3.1415926536,0.0000785379
0.00000,5,8,16.2180666225,2.8469834345e-02,5,15.7079632679,0.5101033545
0.00000,5,9,16.1002598432,2.4015825734e-02,5,15.7079632679,0.3922965752
0.00000,5,10,16.4929491076,2.3330736963e-02,5,15.7079632679,0.7849858397
0.00000,5,11,16.2966044754,2.2948223804e-02,5,15.7079632679,0.5886412074
0.00000,5,12,16.5714869605,2.2193315379e-02,5,15.7079632679,0.8635236926
0.00000,6,1,18.8490846944,1.0000000000e+00,6,18.8495559215,0.0004712271
0.00000,6,2,19.0061604002,1.7517581306e-01,6,18.8495559215,0.1566044787
0.00000,6,3,3.1415141157,1.3112136885e-01,1,3.1415926536,0.0000785379
0.00000,6,4,18.5742022093,9.2214605313e-02,6,18.8495559215,0.2753537122
0.00000,6,5,19.2417739589,9.2143628589e-02,6,18.8495559215,0.3922180373
0.00000,6,6,18.6920089886,8.8741991087e-02,6,18.8495559215,0.1575469329
0.00000,6,7,19.5166564440,4.5171476839e-02,6,18.8495559215,0.6671005225
0.00000,6,8,18.4563954300,4.3622740971e-02,6,18.8495559215,0.3931604916
0.00000,6,9,18.2600507977,3.3799101316e-02,6,18.8495559215,0.5895051238
0.00000,6,10,18.3385886506,2.9983269135e-02,6,18.8495559215,0.5109672709
0.00000,6,11,19.7915389291,2.4647070719e-02,6,18.8495559215,0.9419830076
0.00000,6,12,17.7102858275,2.3495474524e-02,6,18.8495559215,1.1392700941
0.00000,7,1,21.9905988102,1.0000000000e+00,7,21.9911485751,0.0005497650
0.00000,7,2,22.1084055895,9.3507663469e-02,7,21.9911485751,0.1172570144
0.00000,7,3,22.2654812953,6.1497221720e-02,7,21.9911485751,0.2743327202
0.00000,7,4,21.5979095457,3.7689247156e-02,7,21.9911485751,0.3932390294
0.00000,7,5,21.7549852515,3.6971004134e-02,7,21.9911485751,0.2361633237
0.00000,7,6,22.8152462655,2.3278565025e-02,7,21.9911485751,0.8240976904
0.00000,7,7,22.6974394862,2.2812627636e-02,7,21.9911485751,0.7062909111
0.00000,7,8,22.5403637804,2.2300694523e-02,7,21.9911485751,0.5492152053
0.00000,7,9,22.3832880746,2.0492770559e-02,7,21.9911485751,0.3921394995
0.00000,7,10,22.4618259275,1.5887347234e-02,7,21.9911485751,0.4706773524
0.00000,7,11,23.6006247945,1.5226711832e-02,8,25.1327412287,1.5321164342
0.00000,7,12,20.8125310168,1.4524842435e-02,7,21.9911485751,1.1786175584
0.00000,8,1,25.1321129259,1.0000000000e+00,8,25.1327412287,0.0006283028
0.00000,8,2,25.2891886317,1.0319289883e-01,8,25.1327412287,0.1564474030
0.00000,8,3,25.0143061466,9.8974671011e-02,8,25.1327412287,0.1184350822
0.00000,8,4,24.8179615143,4.3581937954e-02,8,25.1327412287,0.3147797144
0.00000,8,5,25.6033400433,3.1526720723e-02,8,25.1327412287,0.4705988145
0.00000,8,6,3.1415141157,2.3433400080e-02,1,3.1415926536,0.0000785379
0.00000,8,7,25.6818778961,1.8414375296e-02,8,25.1327412287,0.5491366674
0.00000,8,8,26.2316428664,1.3567603593e-02,8,25.1327412287,1.0989016377
0.00000,8,9,24.4645411763,1.2723852539e-02,8,25.1327412287,0.6682000524
0.00000,8,10,24.3860033234,1.2496664956e-02,8,25.1327412287,0.7467379053
0.00000,8,11,24.2681965441,1.1787395475e-02,8,25.1327412287,0.8645446847
0.00000,8,12,26.3494496457,9.6028194850e-03,8,25.1327412287,1.2167084170
0.25000,1,1,3.1807830422,1.0000000000e+00,1,3.1415926536,0.0391903886
0.25000,1,2,0.0392689264,9.2124726109e-04,0,0.0000000000,0.0392689264
0.25000,1,3,9.5030802001,6.4103339716e-04,3,9.4247779608,0.0783022393
0.25000,2,1,6.2830282315,1.0000000000e+00,2,6.2831853072,0.0001570757
0.25000,2,2,6.6757174959,4.6954693404e-02,2,6.2831853072,0.3925321888
0.25000,2,3,6.0866835992,2.4036081933e-02,2,6.2831853072,0.1965017079
0.25000,2,4,5.5761875554,2.2809791598e-02,2,6.2831853072,0.7069977517
0.25000,2,5,5.6939943348,2.1030147481e-02,2,6.2831853072,0.5891909724
0.25000,2,6,6.5186417902,2.0946248172e-02,2,6.2831853072,0.2354564830
0.25000,2,7,3.1807830422,2.0301133400e-02,1,3.1415926536,0.0391903886
0.25000,2,8,7.0684067604,1.8088352801e-02,2,6.2831853072,0.7852214532
0.25000,2,9,5.8118011141,1.6595878779e-02,2,6.2831853072,0.4713841931
0.25000,2,10,5.8903389670,1.6256833107e-02,2,6.2831853072,0.3928463402
0.25000,2,11,6.9113310546,1.3012232597e-02,2,6.2831853072,0.6281457474
0.25000,2,12,5.3013050703,1.1769251136e-02,2,6.2831853072,0.9818802369
0.25000,3,1,9.4638112737,1.0000000000e+00,3,9.4247779608,0.0390333129
0.25000,3,2,3.1807830422,3.6406619254e-02,1,3.1415926536,0.0391903886
