lambda,amplitude,dominant_frequency,near_target_frequency,frequency_shift,relative_shift,spectral_amplitude
0.000000000000e+00,5.000000000000e-01,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,1.999709833100e+03
0.000000000000e+00,1.000000000000e+00,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,3.999419666199e+03
0.000000000000e+00,1.500000000000e+00,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,5.999129499299e+03
2.500000000000e-01,5.000000000000e-01,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,1.994630385060e+03
2.500000000000e-01,1.000000000000e+00,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,3.885297208405e+03
2.500000000000e-01,1.500000000000e+00,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,5.262657267020e+03
5.000000000000e-01,5.000000000000e-01,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,1.983235008021e+03
5.000000000000e-01,1.000000000000e+00,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,3.601270648938e+03
5.000000000000e-01,1.500000000000e+00,9.463456402914e+00,9.463456402914e+00,3.867844214469e-02,4.103910172281e-03,5.921520494924e+03
7.500000000000e-01,5.000000000000e-01,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,1.965786608489e+03
7.500000000000e-01,1.000000000000e+00,9.463456402914e+00,9.463456402914e+00,3.867844214469e-02,4.103910172281e-03,3.567722966425e+03
7.500000000000e-01,1.500000000000e+00,9.463456402914e+00,9.463456402914e+00,3.867844214469e-02,4.103910172281e-03,5.657594664520e+03
1.000000000000e+00,5.000000000000e-01,9.424188948960e+00,9.424188948960e+00,-5.890118093106e-04,-6.249609399419e-05,1.942648604203e+03
1.000000000000e+00,1.000000000000e+00,9.463456402914e+00,9.463456402914e+00,3.867844214469e-02,4.103910172281e-03,3.862713039965e+03
1.000000000000e+00,1.500000000000e+00,9.502723856868e+00,9.502723856868e+00,7.794589609869e-02,8.270316438556e-03,5.689073481249e+03
