lambda,peak1_omega,peak1_amp,peak2_omega,peak2_amp,peak3_omega,peak3_amp,near_3pi_omega,near_3pi_amp
0.0000,3.1415730188,1.0000000000e+00,NaN,NaN,NaN,NaN,3.1415730188,1.0000000000e+00
0.1000,3.1415730188,1.0000000000e+00,9.4247190563,2.0473491449e-02,0.0392696627,2.0182645056e-03,9.4247190563,2.0473491449e-02
0.2000,3.1415730188,1.0000000000e+00,9.4639887190,2.5000734770e-02,NaN,NaN,9.4639887190,2.5000734770e-02
0.3000,3.1808426815,1.0000000000e+00,9.5032583817,1.5312240196e-02,9.4247190563,1.3892723603e-02,9.4247190563,1.3892723603e-02
0.4000,3.1808426815,1.0000000000e+00,9.5425280445,1.4804719852e-02,9.4247190563,1.2352228192e-02,9.4247190563,1.2352228192e-02
0.5000,3.1808426815,1.0000000000e+00,9.5425280445,1.3919897138e-02,9.4247190563,1.1543388926e-02,9.4247190563,1.1543388926e-02
0.6000,3.1808426815,1.0000000000e+00,9.5817977072,1.7119652105e-02,9.4639887190,1.2663618805e-02,9.4639887190,1.2663618805e-02
0.7000,3.2201123442,1.0000000000e+00,9.6210673699,1.7256588864e-02,9.4639887190,1.3388928936e-02,9.4639887190,1.3388928936e-02
0.8000,3.2201123442,1.0000000000e+00,9.6210673699,1.4999319811e-02,9.4639887190,1.2480149693e-02,9.4639887190,1.2480149693e-02
0.9000,3.2201123442,1.0000000000e+00,9.6603370327,1.6449880648e-02,9.4639887190,1.2222717244e-02,9.4639887190,1.2222717244e-02
1.0000,3.2201123442,1.0000000000e+00,9.6996066954,1.6548178909e-02,9.4639887190,1.2535391327e-02,9.4639887190,1.2535391327e-02
