lambda,amplitude,mode,reference_frequency,dominant_frequency,frequency_shift,relative_peak_amplitude,mean_energy,max_energy,energy_variation
0.0000,0.5000,1,3.1415926536,3.1415435670,-0.0000490866,1.0000000000e+00,1.2336878676e+00,1.2337195752e+00,3.5982974969e-05
0.0000,0.5000,2,6.2831853072,6.2830871339,-0.0000981732,3.2783531027e-15,6.2465147475e-29,3.2461752707e-28,5.1967516131e+00
0.0000,0.5000,3,9.4247779608,9.4638999955,0.0391220347,4.8071770105e-16,2.5091464521e-29,2.0068961930e-28,7.9983183344e+00
0.0000,0.5000,4,12.5663706144,12.5661742679,-0.0001963465,1.0578493044e-15,3.0976584965e-29,9.7110592241e-29,3.1349183983e+00
0.0000,0.5000,5,15.7079632679,15.7077178349,-0.0002454331,8.3719232322e-16,2.8788229097e-29,1.4090023188e-28,4.8943571609e+00
0.0000,0.5000,6,18.8495559215,18.8492614018,-0.0002945197,7.0004080617e-16,2.2112990297e-29,7.7638218369e-29,3.5109761012e+00
0.0000,0.5000,7,21.9911485751,21.9908049688,-0.0003436063,4.6309407092e-16,2.2561632814e-29,1.6039330669e-28,7.1090896045e+00
0.0000,0.5000,8,25.1327412287,25.1323485358,-0.0003926929,3.6056008267e-16,2.4512706777e-29,1.1665775190e-28,4.7590725137e+00
0.0000,1.0000,1,3.1415926536,3.1415435670,-0.0000490866,1.0000000000e+00,4.9347514702e+00,4.9348783006e+00,3.5982974969e-05
0.0000,1.0000,2,6.2831853072,6.2830871339,-0.0000981732,3.2783531027e-15,2.4986058990e-28,1.2984701083e-27,5.1967516131e+00
0.0000,1.0000,3,9.4247779608,9.4638999955,0.0391220347,4.8071770105e-16,1.0036585808e-28,8.0275847721e-28,7.9983183344e+00
0.0000,1.0000,4,12.5663706144,12.5661742679,-0.0001963465,1.0578493044e-15,1.2390633986e-28,3.8844236896e-28,3.1349183983e+00
0.0000,1.0000,5,15.7079632679,15.7077178349,-0.0002454331,8.3719232322e-16,1.1515291639e-28,5.6360092753e-28,4.8943571609e+00
0.0000,1.0000,6,18.8495559215,18.8492614018,-0.0002945197,7.0004080617e-16,8.8451961187e-29,3.1055287348e-28,3.5109761012e+00
0.0000,1.0000,7,21.9911485751,21.9908049688,-0.0003436063,4.6309407092e-16,9.0246531258e-29,6.4157322676e-28,7.1090896045e+00
0.0000,1.0000,8,25.1327412287,25.1323485358,-0.0003926929,3.6056008267e-16,9.8050827107e-29,4.6663100758e-28,4.7590725137e+00
0.0000,1.5000,1,3.1415926536,3.1415435670,-0.0000490866,1.0000000000e+00,1.1103190808e+01,1.1103476176e+01,3.5982974973e-05
0.0000,1.5000,2,6.2831853072,6.3223564285,0.0391711214,1.1417461992e-15,1.4314860289e-28,1.1475370053e-27,8.0163981575e+00
0.0000,1.5000,3,9.4247779608,9.4246307009,-0.0001472599,1.3708166465e-15,2.0031636188e-28,7.6983648454e-28,3.8430811549e+00
0.0000,1.5000,4,12.5663706144,12.5661742679,-0.0001963465,2.4472594705e-16,6.8175716913e-29,4.4890140442e-28,6.5844704942e+00
0.0000,1.5000,5,15.7079632679,15.7469871294,0.0390238615,6.1518052018e-16,1.5966162072e-28,7.8794694187e-28,4.9349911172e+00
0.0000,1.5000,6,18.8495559215,18.8492614018,-0.0002945197,1.2826798125e-15,7.3277878401e-28,1.9840083191e-27,2.7074428161e+00
0.0000,1.5000,7,21.9911485751,21.9908049688,-0.0003436063,9.7892906116e-16,7.8386479787e-28,2.7330638458e-27,3.4866520165e+00
0.0000,1.5000,8,25.1327412287,25.1323485358,-0.0003926929,6.1216411481e-16,2.9787762712e-28,1.1616426201e-27,3.8997260386e+00
0.2500,0.5000,1,3.1415926536,3.1415435670,-0.0000490866,1.0000000000e+00,1.2324401633e+00,1.2366041803e+00,1.0343653117e-02
0.2500,0.5000,2,6.2831853072,6.2438178394,-0.0393674678,1.1022872405e-15,1.9627839855e-29,1.3527538445e-28,6.8920141982e+00
0.2500,0.5000,3,9.4247779608,9.4246307009,-0.0001472599,1.4915963549e-02,3.0743551463e-03,7.6245812114e-03,2.4800586792e+00
0.2500,0.5000,4,12.5663706144,12.5661742679,-0.0001963465,1.3414093058e-15,4.1040424721e-29,1.2463653079e-28,3.0367807023e+00
0.2500,0.5000,5,15.7079632679,15.7077178349,-0.0002454331,2.2539088637e-04,3.4839316351e-06,1.4126970801e-05,4.0548932301e+00
0.2500,0.5000,6,18.8495559215,18.8492614018,-0.0002945197,8.5658994860e-16,3.1816757693e-29,1.2263048819e-28,3.8542500061e+00
0.2500,0.5000,7,21.9911485751,22.0300742634,0.0389256883,3.6735204689e-06,3.2853119484e-09,1.7781246975e-08,5.4123466066e+00
0.2500,0.5000,8,25.1327412287,25.1323485358,-0.0003926929,5.5870692024e-16,3.2665556898e-29,1.4158930195e-28,4.3345110116e+00
0.2500,1.0000,1,3.1415926536,3.1808128616,0.0392202080,1.0000000000e+00,4.9468457265e+00,4.9815327607e+00,1.6512575223e-02
