lambda,mode,dominant_omega,relative_amplitude
0.0000,1,3.1415141157,1.0000000000e+00
0.0000,2,6.2830282315,1.0000000000e+00
0.0000,3,9.4245423472,1.0000000000e+00
0.0000,4,12.5660564629,1.0000000000e+00
0.0000,5,15.7075705787,1.0000000000e+00
0.0000,6,18.8490846944,1.0000000000e+00
0.0000,7,21.9905988102,1.0000000000e+00
0.0000,8,25.1321129259,1.0000000000e+00
0.5000,1,3.1807830422,1.0000000000e+00
0.5000,2,6.3222971579,1.0000000000e+00
0.5000,3,9.5423491266,1.0000000000e+00
0.5000,4,12.5660564629,1.0000000000e+00
0.5000,5,15.8253773580,1.0000000000e+00
0.5000,6,18.8490846944,1.0000000000e+00
0.5000,7,22.1869434424,1.0000000000e+00
0.5000,8,25.1321129259,1.0000000000e+00
1.0000,1,3.2200519686,1.0000000000e+00
1.0000,2,6.3222971579,1.0000000000e+00
1.0000,3,9.6994248323,1.0000000000e+00
1.0000,4,12.6053253894,1.0000000000e+00
1.0000,5,15.9039152109,1.0000000000e+00
1.0000,6,18.8490846944,1.0000000000e+00
1.0000,7,22.3832880746,1.0000000000e+00
1.0000,8,25.1321129259,1.0000000000e+00
