lambda,peak1_omega,peak1_amp,peak2_omega,peak2_amp,peak3_omega,peak3_amp
0.0000,3.1415141157,1.0000000000e+00,NaN,NaN,NaN,NaN
0.0500,3.1415141157,1.0000000000e+00,9.4245423472,3.3033549216e-03,NaN,NaN
0.1000,3.1415141157,1.0000000000e+00,9.4245423472,6.5138211205e-03,0.1570757058,2.8175833509e-03
0.1500,3.1415141157,1.0000000000e+00,9.4245423472,9.5577472033e-03,0.1570757058,4.0921446866e-03
0.2000,3.1415141157,1.0000000000e+00,9.4245423472,1.2367426760e-02,0.1570757058,5.2333548297e-03
0.2500,3.1415141157,1.0000000000e+00,9.4245423472,1.4883297616e-02,0.1570757058,6.2109555381e-03
0.3000,3.1415141157,1.0000000000e+00,9.4245423472,1.7055814249e-02,0.1570757058,7.0014806912e-03
0.3500,3.1415141157,1.0000000000e+00,9.4245423472,1.8846979942e-02,0.1570757058,7.5873557550e-03
0.4000,3.1415141157,1.0000000000e+00,9.4245423472,2.0231547339e-02,0.1570757058,7.9556940397e-03
0.4500,3.1415141157,1.0000000000e+00,9.4245423472,2.1197906918e-02,0.1570757058,8.0972557207e-03
0.5000,3.1415141157,1.0000000000e+00,9.5816180530,2.2466287517e-02,0.1570757058,8.0058964533e-03
0.5500,3.1415141157,1.0000000000e+00,9.5816180530,2.3979740115e-02,0.1570757058,7.6786585926e-03
0.6000,3.1415141157,1.0000000000e+00,9.5816180530,2.5145523576e-02,0.1570757058,7.1164919209e-03
0.6500,3.1415141157,1.0000000000e+00,9.5816180530,2.5926956089e-02,0.1570757058,6.3254451714e-03
0.7000,3.1415141157,1.0000000000e+00,9.5816180530,2.6296970453e-02,0.1570757058,5.3180462321e-03
0.7500,3.1415141157,1.0000000000e+00,9.5816180530,2.6239261317e-02,0.1570757058,4.1144983782e-03
0.8000,3.1415141157,1.0000000000e+00,9.5816180530,2.5749122137e-02,0.1570757058,2.7432924566e-03
0.8500,3.1415141157,1.0000000000e+00,9.5816180530,2.4833932630e-02,NaN,NaN
0.9000,3.2985898215,1.0000000000e+00,9.5816180530,2.3321156085e-02,NaN,NaN
0.9500,3.2985898215,1.0000000000e+00,9.5816180530,2.0859878265e-02,NaN,NaN
1.0000,3.2985898215,1.0000000000e+00,9.5816180530,1.8242586490e-02,0.1570757058,3.3206920582e-03
